date,Item,category,source,number,cost each,tax/shipping,total cost,used?,subsystem,
10/13/2022,48v 14s14p EVE 50.4v 35ah 1.76kWh,part,batteryhookup,4,139.99,103.88,663.84,yes,battery,
5/31/2023,"laser cut 1/8"" aluminum sheets for battery enclosure",part,oshcut,1,380.71,48.91,429.62,yes,battery,
7/30/2023,2x 58.8v 10a chargers,part,aliexpress,2,60,21.47,141.47,yes,battery,
6/14/2023,"8ft each black and red 1/0ga 600v wire, 12x terminating lugs, ",part,batterycablesUSA,1,101.6,3.97,105.57,yes,battery,
2/11/2023,"Zerone 0.2mm 1kg 99.6% Battery Nickel Strip, (1Roll) Nickel Tap Pure Nickel Strip Tape Strap for Battery Welding(0.2×10mm)",roll,amazon,1,85.47,0,85.47,yes,battery,
3/5/2023,"MEIJIA All Weather Waterproof Hard Camera Case With Customized Fit Foam Included, Elegant Black,Fit for Drones,camera,lens,16.26x8.66x13.39inches",part,amazon,1,65.99,0,65.99,no,battery,
4/3/2023,"MEIJIA All Weather Waterproof Hard Camera Case With Customized Fit Foam Included, Elegant Black,Fit for Drones,camera,lens,16.26x8.66x13.39inches",part,amazon,1,65.99,0,65.99,no,battery,REFUNDED
9/14/2022,TE Connectivity EV200AAANA 500a 0-900vdc Tyco 12/24v,part,batteryhookup,2,30,5,65,yes,battery,
7/28/2023,4pst relay for charge cable controls of battery,part,digikey,1,65,0,65,yes,battery,
6/14/2023,"8x 12X12X1/4"" neoprene pads, 4x butterfly latches, aluminum pull handles",part,amazon,1,55.93,4.34,60.27,yes,battery,
6/14/2023,pair 8mm back and red 50mm radlock connectors,part,mouser,1,39.87,13.85,53.72,yes,battery,
5/16/2023,4x8' sheet 1/4 hardwood plywood for battery box mockup,part,lowes,1,53,0,53,tool,battery,
4/17/2023,"Hall current sensor for auto are DHAB S / 124 limes DHAB S / 101 114 33 LEM lime DHAB S / 118, 133, 24 cars hall current sensor",part,aliexpress,1,36.58,6.39,42.97,no,battery,
4/25/2023,USED HEADWAY 38120 HP 3.2V 8AH LIFEPO4 BATTERY,part,batteryhookup,5,5.5,14.07,41.57,yes,battery,
8/9/2023,5v to 5v isolated power converters and box of crimp heasthrink fork terminals,part,amazon,1,35.49,0,35.49,yes,battery,
8/14/2023,charging splitter and power cables,part,monoprice,1,34.81,0,34.81,yes,battery,
4/23/2023,"2""x50yd white gaff tape",roll,guitar chenter,1,29.99,2.32,32.31,yes,battery,
7/28/2023,"10 pack rj45 patch cables,2x rj45 bulkhead connectors, 10x xt60 bulkhead connectors",part,amazon,1,32.26,0,32.26,yes,battery,
8/11/2023,EMI filter boards,part,amazon,2,16.13,0,32.26,yes,battery,
4/3/2023,"ZIGPEO 14 Gauge 14 AWG Silicone Wire Spools 40FT Red & 40FT Black, Extra Flexible High Temp 14AWG Stranded Copper Cable 600 Volt - RC, Automotive, Battery Cable | Tinned Copper Conductor",roll,amazon,1,30.98,0,30.98,yes,battery,REFUNDED
1/30/2023,"Spot Welder Control Board, 6 Gear Adjustable Spot Welding Machine Lithium Battery Control Board Kit DIY 18650/26650 Batteries, Portable Mini Handheld Welder, Spot Welder PCB Circuit Board (100-900A)",tool,amazon,1,29.99,0,29.99,tool,battery,
3/24/2023,TE Connectivity EV200AAANA 500a 0-900vdc Tyco 12/24v,part,batteryhookup,1,29.99,0,29.99,yes,battery,
4/24/2023,Foam camping mat,part,walmart,2,14.99,0,29.98,yes,battery,
9/5/2023,charger storage box,part,amazon,1,25.82,0,25.82,yes,battery,
9/21/2023,screen and wires for bms interface,part,amazon,1,25.81,0,25.81,no,battery,
4/21/2023,Gaffer Power Real Professional Premium Grade Gaffer Tape Made in The USA - White 2 Inch X 30 Yards - Heavy Duty Gaffer's Tape - Non-Reflective - Multipurpose - Better Than Duct Tape,roll,amazon,1,19.99,0,19.99,yes,battery,
7/31/2023,"more xt60 connectors, and uart isolation boards",part,amazon,1,19.24,0,19.24,yes,battery,
3/9/2023,BNTECHGO 14 Gauge Silicone Wire Spool 20ft Red and 20ft Black Flexible 14 AWG Stranded Tinned Copper Wire,roll,amazon,1,18.88,0,18.88,yes,battery,
