date,Item,source,quantity,cost each,tax/shipping,total cost,% Used,used cost,notes
4/11/2025,ESP32 Development Board Type-C CP2102 WIFI Bluetooth Module Dual Core Wireless Module ESP-32 ESP-WROOM-32 Expansion Board 38Pin,aliexpress,1,20.68,1.35,22.03,1,22.03,5PCs CP2102 38Pin
11/6/2025,eSUN PLA+ Filament 1.75mm; 3D Printer Filament PLA Plus; Dimensional Accuracy +/- 0.03mm; 1KG Spool (2.2 LBS) 3D Printing Filament for 3D Printers; Black,amazon,1,15.33,1.17,16.5,1,16.5,
11/24/2025,Sk6812 DC 12V RGBW RGBWW 5050SMD independently addressable 30/60/144 LEDs/m IP30/65/67 black/white PCB wire 1-5 meters,aliexpress,1,5.49,2.72,8.21,1,8.21,RGBNW; DC5V-WHITE; 5m 60 IP30
11/25/2025,LED Strips Power Supply Adapter AC-DC 100-240V TO 5V 12V 24V 36V 1A 2A 3A 5A 10A 20A 30A Transformer Switching Power Supply SMPS,aliexpress,4,9.08,2.77,39.09,1,39.09,110 V; 5V; 20A
11/25/2025,DC12 SK6812 RGBW (vergelijkbaar met WS2812B) 4-in-1 30/60/144 leds/pixels/m individueel adresseerbaar ledstriplicht 1-5M IP30/IP,aliexpress,3,12.96,-10.22,28.66,1,28.66,RGBNW; DC5V-BLACK; 5m 60 IP30
11/29/2025,eSUN PLA+ Filament 1.75mm; 3D Printer Filament PLA Plus; Dimensional Accuracy +/- 0.03mm; 1KG per Spool; 2 Spools 3D Printing Filament; Black,amazon,2,22.56,3.44,48.56,1,48.56,
11/30/2025,WESIRI WS2812B LED Strip Lights 3.2ft 1M WS2812B 144LEDs Programmable Individual Addressable WS2811 Built-in 5050 RGB LED Strip IP30 Non-Waterproof DC5V with Mini Controller,amazon,1,9.59,0.73,10.32,0,0,used for testing
12/15/2025,CQRobot JST XH 2.54 mm Pitch 3-Pin Electronic Computer Connector IC Male Plugs; Female Sockets Housing and T-Shaped Crimp Terminal Kit. 50 Sets/250 Pieces Wire-to-Board Adapter Cable Assembly.,amazon,1,6.39,0,6.39,1,6.39,many left over
12/15/2025,JTAREA 29Values 600PCS JST PH 2.0 MM Connector Kit 2.0MM 2 3 4 5 6 7 8 Pin Female Male Housing Jst-ph Female Pin Connectors,amazon,1,9.09,0,9.09,1,9.09,many left over
12/15/2025,CQRobot JST XH 2.54 mm Pitch 4-Pin Electronic Computer Connector IC Male Plugs; Female Sockets Housing and T-Shaped Crimp Terminal Kit. 50 Sets/300 Pieces Wire-to-Board Adapter Cable Assembly.,amazon,1,7.99,1.79,9.78,1,9.78,many left over
12/15/2025,25ft ea 1/2in; 3/8in; 1/4in polyethelyne tubing,homedepot,1,35,0,35,1,35,
12/19/2025,Nilight 2Pcs Switch Power Socket 10A 250V AC Inlet Module On Off Switches Built-in Fuse Led Light 3 Pin Outlet for 3D Printers Computers Home Appliance,amazon,2,9.89,1.5,21.28,1,21.28,
12/27/2025,OVERTURE Matte PLA 3D Printer Filament 1.75mm; Matt Surface & Low Warping Filament 1kg Spool (2.2 lbs); Accuracy +/- 0.02 mm; Fit Most FDM Printers (Matte White),amazon,1,15.29,0.65,15.94,1,15.94,
12/27/2025,OVERTURE PETG 3D Printer Filament 1.75mm; Neatly Wound Durable PETG 1kg Spool (2.2lbs); Strong Toughness Filament; Dimensional Accuracy +/- 0.02mm; Fit Most FDM Printers (White),amazon,1,13.49,0,13.49,0,0,
1/4/2026,SUNLU 4KG 3D Printer Filament Bundle PLA Matte 1.75mm; Neatly Wound Filament with Matte Finish; Print with 99% FDM 3D Printers; 1kg Spool (2.2lbs); 4 Packs; White*4,amazon,1,45.99,3,48.99,1,48.99,
,,,,,,,,,
,Total,,,,,333.33,,309.52,
