date,cost ($),vendor,quick description,item(s),notes,fraction used,used cost
2021,300,batteryhookup,batteries,2x 48v 15.6ah 13s battery packs,,0,0
3/24/2024,110.86,aliexpress,motor controller,4 motor four-wheel drive wireless drive controller DC brushless hub motor / belt motor program ESC for electric skateboard,burned out and no longer used,0,0
10/5/2024,891.62,ebay,motors,5x 20 inch Hub Motor Ebike Front Wheel Electric Bicycle Motor Conversion Kit 48 V,4 used,0.8,713.296
10/16/2024,213.66,amazon,brakes,2 of: D Dymoece 2 Pcs Bike Disc Brake Rotors with 12 Bolts 140mm/160mm/180mm/203mm for MTB Mountain Road Bicycle BMX; 1 of: AGPTEK Bike Brake Pads; High-Performance Brake Pads; Disc Brake Pads & Spring (Semi-Metallic) for Mountain Bike Disc Brakes; 4 Pairs Bike Pads; Compatible with TRP Tektro Shimano Deore Br;Black; 2 of: DYISLAND LD-210S Hydraulic Disc Brakes Set，2-PIN/Power-Off Hydraulic Brake kit for Electric Scooter/E-Scooter(L-R brakes（Black）),,0.5,106.83
5/23/2025,150,Facebook marketplace,seat,Cobra Suzka Seat,,1,150
7/26/2025,95.7,home depot,motor mounts and frame wood,4x stake holder; 8x 2by6 8ft boards,,0.688,65.8416
7/28/2025,29.83,home depot,motor mounts,4x stake holder,no longer used,0,0
7/29/2025,223.68,amazon,suspension arms,16x YUCHENSHLP Adjustable Tensioning Rod Heim Joint Alternator Bracket for Chevy SBC 350 Short Water Pump SWP,,1,223.68
7/29/2025,83.28,amazon,steering kit,PRO BAT 300mm/11.8'' Steering Wheel Steel Kit 420mm/16.5'' Gear Rack Pinion Adjustable Shaft Set Replacement for Go Kart Go Cart Golf UTV 110cc 125cc 140cc 150cc Buggy,,1,83.28
7/29/2025,38.39,amazon,electrical connectors,1 of: FLY RC 5 Pairs Amass XT90S connectors; Molex Micro-Fit 3.0™ Dual Row (6 Circuits) Male & Female Receptacle Plug; w/Terminal sockets; (Pack of 3 Complete Set); Amass 10Pairs MT60 3.5mm 3 Pins Bullet Connector Male Female with Housing for RC ESC Motor Car Boat Quad,,1,38.39
8/2/2025,530.37,amazon,motor controller,4 of FLIPSKY 75100 Pro V2.0 with Aluminum PCB with Power Button Based on VESC for Electric Skateboard/Scooter/Ebike Speed Controller; 2 of Throttle Speed Control Pedal; Vehicle Foot Accelerator Throttle Speed Control Brake Foot Pedal for E Bike Kart Electric Bikes Scooters ATV,,1,530.37
8/5/2025,148.5,amazon,shocks,2 of: GZYF 320mm Universal Shock Absorbers Rear Suspension for HONDA for Suzuki for Kawasaki for Yamaha Go Kart ATV Dirt bikes;Silver Black,,1,148.5
8/6/2025,15.06,amazon,controller connectors,1 of: CQRobot JST PH 2.0mm Kit - 8-Pin/9-Pin/10-Pin Electronic Adapter with IC Male Plugs; Female Sockets; T-Shaped Crimp Terminals & Housing. 60 Sets/670 Pieces,,1,15.06
8/12/2025,890.17,sendcutsend,cut and bent aluminum suspension parts,,,1,890.17
8/16/2025,55.6,amazon,tie rods,4 of: YUCHENSHLP Adjustable Tensioning Rod Heim Joint Alternator Bracket for Chevy SBC 350 Short Water Pump SWP,,1,55.6
